Depth,Jm+Bp,Ti+Sl,Tc,Hs,Mf,Pl,Pi,Am,Ai,Ea,Tq,Mp,Calc,Rs,Ab,As,Ts,Ad,TO,PH,TG,Tt,Ph
214,899,0,136,107,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,786,8,78,138,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,650,7,70,131,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,514,4,20,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,269,1,42,6,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,290,2,148,5,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,253,0,104,0,79,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,364,11,125,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,217,0,27,1,96,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,156,3,79,0,46,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
234,152,0,49,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,174,10,126,2,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,83,1,25,1,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,234,3,189,3,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,258,1,8,26,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,504,6,212,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,222,11,158,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,161,2,53,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,179,1,67,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,275,7,135,1,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,232,3,119,9,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,314,2,32,5,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,200,0,109,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,134,0,31,10,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,161,1,29,3,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,349,0,8,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,181,5,75,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,251,2,71,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,74,0,1,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,87,0,1,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,114,1,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,30,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,41,1,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,69,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,43,0,0,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,58,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,32,0,6,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,54,0,1,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,37,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
